review_text,rating,date,bank,source,review_id,cleaned_text,sentiment_label,sentiment_score
"WHAT A USELESS APP! Transfers, wallet payments, other banks — nothing works. Updated, restarted, cleared cache, reinstalled — still useless. Crashed and forced me to visit a branch just to log in 3 times. One of the biggest banks in the country can’t fix issues a junior developer could solve. Completely unreliable. Big bank , Zero functionality!",1,2025-09-13,Commercial Bank of Ethiopia,Google Play Store,1ebb9f31-ce77-4149-826a-697d986e9ff1,"what a useless app! transfers, wallet payments, other banks  nothing works. updated, restarted, cleared cache, reinstalled  still useless. crashed and forced me to visit a branch just to log in 3 times. one of the biggest banks in the country cant fix issues a junior developer could solve. completely unreliable. big bank , zero functionality!",NEGATIVE,0.9998010993003845
"Most of the time when I try to open the app, it does not load. The circle keeps spinning as if it is trying to open, and get a message saying "" 2 attempts left for offline login"". This seems to mean that the app cannot connect to the internet, even though I have a stable internet connection, and all other stuff work properly.",2,2025-09-24,Commercial Bank of Ethiopia,Google Play Store,6c72590a-6064-4aac-a5b5-a23df953162d,"most of the time when i try to open the app, it does not load. the circle keeps spinning as if it is trying to open, and get a message saying  2 attempts left for offline login. this seems to mean that the app cannot connect to the internet, even though i have a stable internet connection, and all other stuff work properly.",NEGATIVE,0.9990382194519043
"I use the Commercial Bank of Ethiopia mobile app, and it’s fantastic! The interface is user-friendly, making it easy to check balances and transfer money. I love the bill payment feature, and the security measures give me peace of mind. Overall, it’s a reliable app that has simplified my banking experience. Highly recommend!",5,2025-08-22,Commercial Bank of Ethiopia,Google Play Store,651c86bc-2cf3-436e-a85c-39c55709db15,"i use the commercial bank of ethiopia mobile app, and its fantastic! the interface is userfriendly, making it easy to check balances and transfer money. i love the bill payment feature, and the security measures give me peace of mind. overall, its a reliable app that has simplified my banking experience. highly recommend!",POSITIVE,0.9997434020042419
"It is good app and really user friendly , but it not possible to start service after the app is uninstalled or device phone is changed. So please make it easy for us, after once you set us the requirements in your office we should have to use it only by install and launch it. We do not have to visit the near by branch office every time for such silly businesses but important things. in addition to that why is that for hidding senders name or account number How can I know who tranfers to me???",4,2025-09-05,Commercial Bank of Ethiopia,Google Play Store,6028469c-5c00-4864-a85e-7e158387f160,"it is good app and really user friendly , but it not possible to start service after the app is uninstalled or device phone is changed. so please make it easy for us, after once you set us the requirements in your office we should have to use it only by install and launch it. we do not have to visit the near by branch office every time for such silly businesses but important things. in addition to that why is that for hidding senders name or account number how can i know who tranfers to me???",NEGATIVE,0.9859862327575684
"I love this app. really, but with some downsides too. Screenshot is mandatory after every transaction as to me, I need screenshots not downloaded recipient. It would be even better if transaction history is available via this app for months that we can access directly or via calender ways. Thanks.",4,2025-08-22,Commercial Bank of Ethiopia,Google Play Store,7b8f021c-6d11-4a06-8c68-37062d975778,"i love this app. really, but with some downsides too. screenshot is mandatory after every transaction as to me, i need screenshots not downloaded recipient. it would be even better if transaction history is available via this app for months that we can access directly or via calender ways. thanks.",NEGATIVE,0.9867143034934998
"Although the UI is simple and easy to use. That does not mean anything if information is not consistent throughout the app, and most services are down most of the time. Also, I see that forcing the user to turn off Android Dev Settings to use the app is unnecessary and creates inconvenience for users who want to use their devices for Android development 🙄. If you have certain security requirements, you would rather prefer to restrict the minSdk (since recent android releases are secure).",1,2025-07-16,Commercial Bank of Ethiopia,Google Play Store,f0204617-22df-40be-b694-f82be6c12632,"although the ui is simple and easy to use. that does not mean anything if information is not consistent throughout the app, and most services are down most of the time. also, i see that forcing the user to turn off android dev settings to use the app is unnecessary and creates inconvenience for users who want to use their devices for android development . if you have certain security requirements, you would rather prefer to restrict the minsdk since recent android releases are secure.",NEGATIVE,0.9996787309646606
"The app was great while it was active. However, after the app did an update, I lost connection with a message ""Network Error"". Please try to fix it as there are many clients of CBE using this app globally from abroad countries.",3,2025-09-21,Commercial Bank of Ethiopia,Google Play Store,4cc29da3-9526-44f0-a60f-e4e8cbca0889,"the app was great while it was active. however, after the app did an update, i lost connection with a message network error. please try to fix it as there are many clients of cbe using this app globally from abroad countries.",NEGATIVE,0.999113142490387
"The App is very good in its interface and user friendly. But it could be a pro app had it had additional feature that let us run multiple accounts on a single phone with an option of ""additional"" account!",3,2025-09-19,Commercial Bank of Ethiopia,Google Play Store,0edb4624-c49a-4b38-9676-15795535cad4,the app is very good in its interface and user friendly. but it could be a pro app had it had additional feature that let us run multiple accounts on a single phone with an option of additional account!,NEGATIVE,0.9510977268218994
"this app is pretty good. The recent one was the nicest. however after the update, it restricts me from taking a screenshot. i would be happy if you remove screenshots restriction policy from this app. why I gave it five stars was because of the past performances of this app. keep in mind to remove the screenshot restriction policy from this app. and also it has no self authorizations. once uninstalled it needs extra sim cards and wants to visit nearby banks in person.",5,2025-08-20,Commercial Bank of Ethiopia,Google Play Store,e5b8ce29-2766-4fbc-935a-7a45e4471edd,"this app is pretty good. the recent one was the nicest. however after the update, it restricts me from taking a screenshot. i would be happy if you remove screenshots restriction policy from this app. why i gave it five stars was because of the past performances of this app. keep in mind to remove the screenshot restriction policy from this app. and also it has no self authorizations. once uninstalled it needs extra sim cards and wants to visit nearby banks in person.",NEGATIVE,0.9711772799491882
"I would like to give you some feedback on Current update, its very nice and easy to use👍 but in some button there is still not improved For example while iwant to check my recent Txn it not well sequenced and arranged or some txn may not appear ... becouse of this i see many of users of this app discomferted maily merchants and those make High txn daily. improve and miximize the txn shown to 300 up to 500. make Searchable Recent txn button! All in all the bank i Relly on! CBE my bank !",5,2025-08-29,Commercial Bank of Ethiopia,Google Play Store,a02f8c55-349e-4153-952e-b9fd9857015e,"i would like to give you some feedback on current update, its very nice and easy to use but in some button there is still not improved for example while iwant to check my recent txn it not well sequenced and arranged or some txn may not appear ... becouse of this i see many of users of this app discomferted maily merchants and those make high txn daily. improve and miximize the txn shown to 300 up to 500. make searchable recent txn button! all in all the bank i relly on! cbe my bank !",NEGATIVE,0.9968692660331726
